record_id,pmid,doi,title,year,publication_types,screening_priority,triage_hints,abstract,title_abstract_decision,title_abstract_reason,full_text_status,full_text_decision,full_text_exclusion_reason,study_id,study_design,key_outcomes,notes
1,42115081,10.1016/j.numecd.2026.104765,Effect of omega-3 supplementation vs. placebo on blood lipid levels in patients with ischemic heart disease: a systematic review and meta-analysis.,2026,,,,,include,题名摘要符合成人omega-3对甘油三酯/血脂的更新证据PICOS，进入全文环节,abstract_only,exclude,本演示环境仅取得摘要，未纳入正式快速GRADE证据体,,candidate_update_report,,保留为待全文核查记录；不据此声称完成正式GRADE
2,41636674,10.1016/j.pedhc.2025.12.021,Fenofibrate vs. Omega-3 in Pediatric Hypertriglyceridemia: A Randomized Controlled Trial.,2026,,,,,exclude,未成年人群，不符合本次成人PICOS,,,,,,,
3,41791524,10.1016/j.jaad.2026.03.001,Efficacy and safety of fish oil supplementation combined with low-dose isotretinoin for moderate-to-severe acne vulgaris: A randomized controlled non-inferiority trial.,2026,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
4,42497400,10.1093/nutrit/nuag105,Efficacy of Omega-3 Polyunsaturated Fatty Acid Supplementation on the Lipid and Glycemic Profile in Type 1 Diabetes: A Systematic Review and Meta-Analysis.,2026,,,,,include,题名摘要符合成人omega-3对甘油三酯/血脂的更新证据PICOS，进入全文环节,abstract_only,exclude,本演示环境仅取得摘要，未纳入正式快速GRADE证据体,,candidate_update_report,,保留为待全文核查记录；不据此声称完成正式GRADE
5,42442701,10.1055/a-2869-0635,Efficacy and tolerability of nutraceuticals and phytotherapics for antipsychotic-induced weight gain in schizophrenia spectrum disorders: Systematic review and meta-analysis.,2026,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
6,42459753,10.3389/fcdhc.2026.1850470,Pemafibrate is associated with greater reductions in MDA-LDL and small dense LDL fractions with exploratory PBMC gene-expression changes: a prespecified subanalysis of the PARADISE in Kagoshima study.,2026,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
7,41866151,10.5551/jat.66106,Associations of Serum Fatty Acids and the Eicosapentaenoic Acid/Arachidonic Acid Ratio with Hypertriglyceridemia in a Japanese Population: A Cross-Sectional Study.,2026,,,,,exclude,观察性或资格估算研究，不能回答本次随机干预功效问题,,,,,,,
8,42151489,10.1007/s11739-026-04383-1,Targeting triglycerides for cardiovascular risk reduction.,2026,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
9,42206171,10.3389/fphar.2026.1789019,"Triglyceride-lowering therapies for hepatic steatosis: mechanisms, efficacy, and clinical perspectives.",2026,,,,,exclude,叙述性综述或指南解读，不作为更新期直接功效证据,,,,,,,
10,41953595,10.14740/jocmr6523,Novel Approaches to Lipid Management: Beyond Statins and PCSK9 Inhibitors.,2026,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
